year,Boston
1880,5
1881,0
1882,0
1883,0
1884,5
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,7
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,5
1903,0
1904,0
1905,5
1906,0
1907,8
1908,0
1909,5
1910,8
1911,0
1912,6
1913,8
1914,16
1915,13
1916,13
1917,12
1918,9
1919,9
1920,13
1921,21
1922,16
1923,0
1924,13
1925,11
1926,21
1927,5
1928,10
1929,9
1930,0
1931,6
1932,6
1933,10
1934,10
1935,8
1936,7
1937,9
1938,11
1939,5
1940,9
1941,8
1942,10
1943,11
1944,6
1945,10
1946,8
1947,7
1948,7
1949,0
1950,7
1951,6
1952,0
1953,0
1954,8
1955,5
1956,7
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,5
1964,6
1965,0
1966,0
1967,0
1968,0
1969,5
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,6
1978,5
1979,0
1980,6
1981,12
1982,11
1983,0
1984,8
1985,7
1986,9
1987,16
1988,18
1989,23
1990,29
1991,25
1992,51
1993,44
1994,49
1995,66
1996,60
1997,71
1998,79
1999,85
2000,90
2001,85
2002,133
2003,148
2004,211
2005,332
2006,407
2007,424
2008,502
2009,525
2010,494
2011,488
2012,533
