year,Bernadine
1880,0
1881,0
1882,6
1883,0
1884,10
1885,9
1886,12
1887,6
1888,10
1889,17
1890,11
1891,12
1892,10
1893,14
1894,16
1895,19
1896,17
1897,20
1898,28
1899,34
1900,37
1901,33
1902,39
1903,50
1904,66
1905,57
1906,79
1907,89
1908,77
1909,99
1910,97
1911,121
1912,172
1913,196
1914,252
1915,354
1916,407
1917,408
1918,486
1919,439
1920,470
1921,560
1922,526
1923,516
1924,563
1925,541
1926,546
1927,519
1928,505
1929,481
1930,533
1931,544
1932,438
1933,436
1934,430
1935,406
1936,351
1937,383
1938,375
1939,360
1940,324
1941,332
1942,308
1943,321
1944,359
1945,282
1946,321
1947,350
1948,283
1949,304
1950,287
1951,264
1952,264
1953,236
1954,194
1955,212
1956,160
1957,424
1958,407
1959,328
1960,262
1961,228
1962,233
1963,192
1964,191
1965,173
1966,171
1967,127
1968,114
1969,103
1970,91
1971,72
1972,49
1973,55
1974,54
1975,34
1976,30
1977,30
1978,33
1979,27
1980,37
1981,21
1982,29
1983,16
1984,10
1985,18
1986,11
1987,8
1988,7
1989,13
1990,13
1991,8
1992,11
1993,10
1994,12
1995,12
1996,15
1997,14
1998,6
1999,11
2000,10
2001,9
2002,6
2003,5
2004,8
2005,9
2006,7
2007,0
2008,6
2009,8
2010,6
2011,6
2012,6
