year,Bartley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,9
1887,0
1888,5
1889,7
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,5
1898,0
1899,0
1900,10
1901,0
1902,0
1903,6
1904,8
1905,6
1906,0
1907,0
1908,5
1909,0
1910,6
1911,0
1912,7
1913,11
1914,14
1915,19
1916,22
1917,22
1918,21
1919,13
1920,26
1921,20
1922,17
1923,16
1924,17
1925,24
1926,14
1927,14
1928,20
1929,14
1930,19
1931,21
1932,20
1933,19
1934,18
1935,15
1936,16
1937,18
1938,17
1939,23
1940,19
1941,17
1942,23
1943,16
1944,19
1945,15
1946,18
1947,20
1948,25
1949,28
1950,17
1951,22
1952,15
1953,22
1954,15
1955,27
1956,18
1957,21
1958,26
1959,68
1960,57
1961,46
1962,40
1963,36
1964,40
1965,30
1966,36
1967,26
1968,41
1969,48
1970,46
1971,42
1972,32
1973,20
1974,28
1975,29
1976,22
1977,27
1978,24
1979,23
1980,20
1981,18
1982,15
1983,15
1984,14
1985,27
1986,9
1987,16
1988,13
1989,12
1990,8
1991,13
1992,9
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,6
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,5
2010,0
2011,0
2012,0
