year,Brooks
1880,5
1881,0
1882,9
1883,0
1884,6
1885,11
1886,5
1887,6
1888,6
1889,5
1890,8
1891,6
1892,9
1893,0
1894,10
1895,10
1896,8
1897,14
1898,8
1899,10
1900,12
1901,16
1902,11
1903,12
1904,11
1905,8
1906,12
1907,16
1908,16
1909,15
1910,13
1911,15
1912,25
1913,51
1914,48
1915,77
1916,60
1917,73
1918,75
1919,61
1920,84
1921,84
1922,76
1923,54
1924,66
1925,53
1926,61
1927,59
1928,59
1929,56
1930,53
1931,55
1932,48
1933,56
1934,53
1935,67
1936,44
1937,63
1938,56
1939,50
1940,61
1941,64
1942,81
1943,65
1944,63
1945,72
1946,63
1947,98
1948,78
1949,85
1950,66
1951,96
1952,82
1953,123
1954,110
1955,113
1956,126
1957,115
1958,94
1959,134
1960,105
1961,144
1962,134
1963,137
1964,112
1965,111
1966,123
1967,117
1968,123
1969,106
1970,165
1971,181
1972,139
1973,146
1974,153
1975,133
1976,136
1977,154
1978,138
1979,210
1980,347
1981,447
1982,478
1983,331
1984,281
1985,314
1986,248
1987,248
1988,214
1989,227
1990,230
1991,226
1992,259
1993,258
1994,280
1995,275
1996,259
1997,264
1998,243
1999,243
2000,259
2001,246
2002,250
2003,276
2004,340
2005,355
2006,422
2007,493
2008,430
2009,571
2010,722
2011,896
2012,874
