year,Bena
1880,6
1881,0
1882,0
1883,6
1884,0
1885,0
1886,0
1887,7
1888,5
1889,0
1890,6
1891,6
1892,0
1893,6
1894,9
1895,6
1896,0
1897,0
1898,10
1899,6
1900,5
1901,5
1902,8
1903,6
1904,0
1905,0
1906,6
1907,5
1908,5
1909,6
1910,6
1911,0
1912,7
1913,8
1914,7
1915,12
1916,12
1917,7
1918,16
1919,8
1920,16
1921,13
1922,6
1923,6
1924,6
1925,9
1926,5
1927,12
1928,8
1929,5
1930,10
1931,0
1932,7
1933,0
1934,9
1935,6
1936,6
1937,7
1938,0
1939,6
1940,5
1941,0
1942,7
1943,5
1944,6
1945,0
1946,0
1947,9
1948,6
1949,0
1950,0
1951,0
1952,5
1953,6
1954,5
1955,7
1956,6
1957,0
1958,6
1959,0
1960,8
1961,0
1962,0
1963,5
1964,6
1965,0
1966,0
1967,9
1968,0
1969,0
1970,0
1971,0
1972,7
1973,7
1974,9
1975,5
1976,5
1977,0
1978,5
1979,7
1980,6
1981,5
1982,5
1983,7
1984,0
1985,0
1986,0
1987,0
1988,8
1989,0
1990,7
1991,0
1992,5
1993,5
1994,0
1995,0
1996,0
1997,0
1998,6
1999,0
2000,6
2001,0
2002,0
2003,6
2004,0
2005,0
2006,7
2007,6
2008,0
2009,7
2010,5
2011,0
2012,7
