year,Belton
1880,0
1881,5
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,5
1892,0
1893,5
1894,5
1895,8
1896,0
1897,0
1898,0
1899,0
1900,5
1901,5
1902,7
1903,6
1904,0
1905,6
1906,7
1907,0
1908,0
1909,8
1910,10
1911,11
1912,15
1913,17
1914,21
1915,20
1916,22
1917,16
1918,32
1919,24
1920,32
1921,30
1922,25
1923,33
1924,31
1925,23
1926,20
1927,23
1928,20
1929,21
1930,17
1931,17
1932,23
1933,23
1934,20
1935,19
1936,17
1937,15
1938,14
1939,14
1940,14
1941,17
1942,20
1943,16
1944,13
1945,20
1946,13
1947,16
1948,11
1949,20
1950,8
1951,17
1952,15
1953,18
1954,18
1955,15
1956,19
1957,9
1958,14
1959,9
1960,12
1961,16
1962,12
1963,7
1964,7
1965,14
1966,7
1967,12
1968,9
1969,0
1970,9
1971,0
1972,0
1973,6
1974,0
1975,0
1976,0
1977,11
1978,0
1979,7
1980,7
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,7
1989,5
1990,0
1991,5
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
