year,Berkley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,5
1911,7
1912,13
1913,13
1914,18
1915,14
1916,26
1917,16
1918,19
1919,24
1920,25
1921,22
1922,20
1923,24
1924,29
1925,24
1926,23
1927,21
1928,31
1929,12
1930,31
1931,21
1932,22
1933,19
1934,28
1935,18
1936,22
1937,31
1938,16
1939,16
1940,22
1941,18
1942,9
1943,20
1944,11
1945,17
1946,17
1947,17
1948,16
1949,17
1950,25
1951,17
1952,15
1953,14
1954,18
1955,18
1956,17
1957,22
1958,19
1959,14
1960,14
1961,22
1962,12
1963,14
1964,9
1965,9
1966,12
1967,8
1968,15
1969,8
1970,15
1971,8
1972,15
1973,7
1974,20
1975,12
1976,16
1977,0
1978,11
1979,13
1980,15
1981,14
1982,14
1983,10
1984,19
1985,17
1986,15
1987,20
1988,12
1989,19
1990,17
1991,22
1992,20
1993,29
1994,40
1995,39
1996,39
1997,35
1998,53
1999,56
2000,48
2001,63
2002,59
2003,80
2004,76
2005,86
2006,142
2007,156
2008,162
2009,193
2010,227
2011,251
2012,268
