year,Burton
1880,34
1881,42
1882,38
1883,40
1884,38
1885,32
1886,35
1887,23
1888,42
1889,24
1890,28
1891,29
1892,32
1893,30
1894,29
1895,27
1896,42
1897,26
1898,38
1899,32
1900,38
1901,35
1902,29
1903,52
1904,41
1905,30
1906,50
1907,43
1908,34
1909,52
1910,53
1911,84
1912,163
1913,207
1914,244
1915,328
1916,363
1917,398
1918,455
1919,456
1920,433
1921,508
1922,486
1923,501
1924,549
1925,597
1926,563
1927,546
1928,523
1929,545
1930,560
1931,474
1932,445
1933,427
1934,433
1935,399
1936,434
1937,411
1938,384
1939,313
1940,344
1941,334
1942,317
1943,304
1944,293
1945,273
1946,285
1947,293
1948,247
1949,269
1950,252
1951,216
1952,218
1953,222
1954,191
1955,183
1956,192
1957,195
1958,158
1959,171
1960,186
1961,187
1962,154
1963,198
1964,162
1965,160
1966,152
1967,129
1968,120
1969,117
1970,121
1971,120
1972,112
1973,88
1974,86
1975,79
1976,82
1977,98
1978,102
1979,94
1980,98
1981,91
1982,75
1983,70
1984,60
1985,56
1986,63
1987,56
1988,51
1989,54
1990,43
1991,45
1992,31
1993,36
1994,36
1995,25
1996,37
1997,21
1998,25
1999,24
2000,21
2001,22
2002,24
2003,23
2004,30
2005,31
2006,25
2007,29
2008,19
2009,26
2010,26
2011,27
2012,36
