year,Benjamine
1880,13
1881,17
1882,9
1883,15
1884,10
1885,7
1886,12
1887,11
1888,11
1889,13
1890,9
1891,9
1892,9
1893,10
1894,9
1895,0
1896,5
1897,8
1898,6
1899,0
1900,5
1901,0
1902,6
1903,8
1904,0
1905,5
1906,0
1907,0
1908,5
1909,0
1910,0
1911,9
1912,16
1913,12
1914,19
1915,15
1916,13
1917,30
1918,30
1919,35
1920,27
1921,23
1922,21
1923,11
1924,20
1925,18
1926,15
1927,19
1928,12
1929,15
1930,9
1931,12
1932,13
1933,11
1934,7
1935,15
1936,10
1937,11
1938,9
1939,6
1940,14
1941,10
1942,5
1943,16
1944,12
1945,8
1946,5
1947,9
1948,7
1949,12
1950,13
1951,6
1952,8
1953,17
1954,8
1955,9
1956,14
1957,14
1958,10
1959,8
1960,9
1961,11
1962,19
1963,13
1964,12
1965,14
1966,14
1967,16
1968,16
1969,15
1970,12
1971,17
1972,16
1973,9
1974,23
1975,16
1976,24
1977,27
1978,24
1979,34
1980,23
1981,21
1982,22
1983,26
1984,27
1985,31
1986,25
1987,25
1988,24
1989,24
1990,22
1991,18
1992,18
1993,19
1994,16
1995,20
1996,10
1997,10
1998,13
1999,8
2000,12
2001,17
2002,15
2003,10
2004,9
2005,15
2006,14
2007,13
2008,7
2009,11
2010,13
2011,10
2012,9
