year,Berton
1880,8
1881,9
1882,10
1883,10
1884,7
1885,6
1886,8
1887,7
1888,0
1889,0
1890,0
1891,9
1892,6
1893,0
1894,6
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,7
1905,6
1906,0
1907,0
1908,0
1909,5
1910,0
1911,5
1912,16
1913,20
1914,16
1915,25
1916,30
1917,47
1918,30
1919,38
1920,46
1921,35
1922,37
1923,40
1924,53
1925,44
1926,40
1927,39
1928,53
1929,31
1930,44
1931,32
1932,38
1933,39
1934,27
1935,31
1936,35
1937,29
1938,43
1939,26
1940,29
1941,18
1942,29
1943,31
1944,23
1945,22
1946,25
1947,19
1948,20
1949,31
1950,22
1951,22
1952,19
1953,23
1954,19
1955,22
1956,15
1957,21
1958,15
1959,15
1960,20
1961,18
1962,15
1963,14
1964,13
1965,11
1966,11
1967,19
1968,11
1969,16
1970,9
1971,12
1972,11
1973,10
1974,8
1975,14
1976,8
1977,10
1978,12
1979,6
1980,16
1981,7
1982,6
1983,0
1984,0
1985,5
1986,0
1987,6
1988,6
1989,6
1990,0
1991,5
1992,0
1993,8
1994,0
1995,6
1996,0
1997,0
1998,7
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
