year,Bonita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,5
1893,7
1894,0
1895,8
1896,9
1897,0
1898,0
1899,6
1900,8
1901,11
1902,6
1903,13
1904,21
1905,15
1906,18
1907,20
1908,20
1909,33
1910,39
1911,39
1912,44
1913,59
1914,58
1915,90
1916,115
1917,93
1918,99
1919,99
1920,137
1921,142
1922,128
1923,164
1924,167
1925,208
1926,188
1927,199
1928,196
1929,198
1930,218
1931,206
1932,226
1933,230
1934,242
1935,259
1936,234
1937,266
1938,360
1939,390
1940,516
1941,742
1942,826
1943,1013
1944,978
1945,843
1946,1213
1947,1448
1948,1314
1949,1508
1950,1527
1951,1522
1952,1454
1953,1352
1954,1199
1955,1244
1956,1175
1957,970
1958,820
1959,815
1960,892
1961,936
1962,923
1963,830
1964,662
1965,624
1966,528
1967,462
1968,372
1969,361
1970,322
1971,260
1972,226
1973,161
1974,179
1975,126
1976,129
1977,107
1978,102
1979,109
1980,123
1981,124
1982,83
1983,76
1984,75
1985,60
1986,73
1987,104
1988,84
1989,80
1990,74
1991,71
1992,71
1993,52
1994,33
1995,29
1996,32
1997,32
1998,29
1999,27
2000,17
2001,27
2002,10
2003,22
2004,17
2005,19
2006,24
2007,12
2008,19
2009,19
2010,20
2011,18
2012,16
