year,Bernhard
1880,8
1881,6
1882,0
1883,5
1884,7
1885,0
1886,5
1887,10
1888,0
1889,10
1890,0
1891,5
1892,7
1893,9
1894,8
1895,5
1896,6
1897,0
1898,6
1899,7
1900,5
1901,0
1902,0
1903,0
1904,0
1905,7
1906,8
1907,0
1908,0
1909,7
1910,8
1911,0
1912,16
1913,26
1914,22
1915,41
1916,55
1917,50
1918,27
1919,41
1920,45
1921,27
1922,30
1923,31
1924,36
1925,28
1926,24
1927,29
1928,33
1929,31
1930,27
1931,27
1932,21
1933,22
1934,25
1935,19
1936,28
1937,21
1938,18
1939,19
1940,20
1941,13
1942,17
1943,19
1944,16
1945,12
1946,12
1947,21
1948,17
1949,14
1950,18
1951,11
1952,12
1953,22
1954,19
1955,15
1956,22
1957,19
1958,17
1959,24
1960,21
1961,19
1962,23
1963,25
1964,12
1965,21
1966,22
1967,15
1968,12
1969,15
1970,16
1971,6
1972,8
1973,7
1974,5
1975,0
1976,7
1977,7
1978,6
1979,9
1980,0
1981,0
1982,8
1983,6
1984,5
1985,7
1986,6
1987,6
1988,0
1989,0
1990,5
1991,11
1992,0
1993,0
1994,0
1995,5
1996,0
1997,12
1998,5
1999,0
2000,0
2001,5
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
