year,Benson
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,9
1888,5
1889,9
1890,0
1891,0
1892,6
1893,0
1894,0
1895,6
1896,0
1897,5
1898,5
1899,0
1900,0
1901,0
1902,0
1903,6
1904,7
1905,5
1906,0
1907,0
1908,9
1909,7
1910,5
1911,7
1912,21
1913,15
1914,24
1915,39
1916,68
1917,47
1918,31
1919,28
1920,43
1921,39
1922,43
1923,36
1924,43
1925,45
1926,35
1927,35
1928,35
1929,42
1930,30
1931,39
1932,27
1933,17
1934,29
1935,29
1936,29
1937,37
1938,30
1939,23
1940,23
1941,34
1942,44
1943,38
1944,37
1945,34
1946,36
1947,44
1948,52
1949,45
1950,39
1951,42
1952,50
1953,46
1954,51
1955,38
1956,49
1957,60
1958,46
1959,39
1960,26
1961,45
1962,43
1963,47
1964,43
1965,30
1966,39
1967,50
1968,46
1969,64
1970,51
1971,42
1972,46
1973,51
1974,43
1975,40
1976,36
1977,65
1978,59
1979,79
1980,63
1981,53
1982,53
1983,47
1984,52
1985,59
1986,60
1987,38
1988,58
1989,57
1990,77
1991,58
1992,62
1993,73
1994,72
1995,60
1996,65
1997,50
1998,60
1999,66
2000,76
2001,75
2002,102
2003,102
2004,130
2005,134
2006,160
2007,174
2008,171
2009,192
2010,260
2011,314
2012,432
