year,Benjamin (F),Benjamin (M)
1880,0.000000,0.002432
1881,0.000000,0.002496
1882,0.000000,0.002158
1883,0.000000,0.002342
1884,0.000000,0.002091
1885,0.000000,0.001926
1886,0.000000,0.001813
1887,0.000000,0.001912
1888,0.000000,0.002608
1889,0.000000,0.002630
1890,0.000000,0.001782
1891,0.000000,0.001608
1892,0.000000,0.001570
1893,0.000000,0.001482
1894,0.000000,0.001385
1895,0.000000,0.001288
1896,0.000000,0.001164
1897,0.000000,0.001089
1898,0.000000,0.001062
1899,0.000000,0.000988
1900,0.000000,0.000999
1901,0.000000,0.000992
1902,0.000000,0.000967
1903,0.000000,0.000850
1904,0.000000,0.000887
1905,0.000000,0.000894
1906,0.000000,0.000822
1907,0.000000,0.000988
1908,0.000000,0.000982
1909,0.000000,0.000957
1910,0.000000,0.000907
1911,0.000000,0.001071
1912,0.000000,0.001287
1913,0.000000,0.001289
1914,0.000004,0.001287
1915,0.000004,0.001223
1916,0.000003,0.001130
1917,0.000002,0.001189
1918,0.000000,0.001120
1919,0.000005,0.001080
1920,0.000003,0.001020
1921,0.000004,0.001033
1922,0.000003,0.001038
1923,0.000002,0.001006
1924,0.000002,0.000933
1925,0.000003,0.000887
1926,0.000006,0.000827
1927,0.000003,0.000831
1928,0.000007,0.000798
1929,0.000008,0.000773
1930,0.000004,0.000717
1931,0.000004,0.000740
1932,0.000006,0.000729
1933,0.000005,0.000706
1934,0.000003,0.000714
1935,0.000003,0.000674
1936,0.000000,0.000652
1937,0.000003,0.000668
1938,0.000004,0.000640
1939,0.000002,0.000646
1940,0.000003,0.000628
1941,0.000003,0.000648
1942,0.000000,0.000619
1943,0.000004,0.000609
1944,0.000003,0.000603
1945,0.000003,0.000589
1946,0.000002,0.000518
1947,0.000002,0.000536
1948,0.000001,0.000568
1949,0.000002,0.000579
1950,0.000002,0.000624
1951,0.000003,0.000636
1952,0.000002,0.000642
1953,0.000003,0.000626
1954,0.000002,0.000616
1955,0.000002,0.000610
1956,0.000001,0.000599
1957,0.000003,0.000593
1958,0.000003,0.000546
1959,0.000002,0.000561
1960,0.000002,0.000541
1961,0.000002,0.000577
1962,0.000004,0.000622
1963,0.000004,0.000594
1964,0.000003,0.000644
1965,0.000004,0.000645
1966,0.000004,0.000684
1967,0.000005,0.000738
1968,0.000007,0.000894
1969,0.000005,0.000973
1970,0.000006,0.001089
1971,0.000008,0.001238
1972,0.000006,0.001432
1973,0.000010,0.001735
1974,0.000012,0.002363
1975,0.000016,0.003162
1976,0.000017,0.003519
1977,0.000020,0.003811
1978,0.000023,0.003596
1979,0.000024,0.003762
1980,0.000023,0.003958
1981,0.000020,0.004151
1982,0.000024,0.003941
1983,0.000028,0.003836
1984,0.000021,0.003803
1985,0.000025,0.003763
1986,0.000024,0.003880
1987,0.000020,0.004130
1988,0.000025,0.004111
1989,0.000014,0.004092
1990,0.000010,0.003701
1991,0.000008,0.003562
1992,0.000008,0.003502
1993,0.000007,0.003364
1994,0.000009,0.003441
1995,0.000006,0.003473
1996,0.000007,0.003779
1997,0.000006,0.003660
1998,0.000005,0.003551
1999,0.000007,0.003700
2000,0.000006,0.003927
2001,0.000005,0.003830
2002,0.000007,0.003609
2003,0.000006,0.003702
2004,0.000018,0.003618
2005,0.000005,0.003533
2006,0.000003,0.003479
2007,0.000004,0.003323
2008,0.000006,0.003298
2009,0.000003,0.003437
2010,0.000006,0.003366
2011,0.000007,0.003576
2012,0.000004,0.003510
2013,0.000005,0.003707
2014,0.000005,0.003731
2015,0.000005,0.003712
2016,0.000003,0.004003
2017,0.000003,0.003878
2018,0.000006,0.003836
2019,0.000003,0.003756
2020,0.000003,0.003672
