year,Bruce (F),Bruce (M)
1880,0.000000,0.000233
1881,0.000000,0.000176
1882,0.000000,0.000298
1883,0.000000,0.000230
1884,0.000000,0.000164
1885,0.000000,0.000233
1886,0.000000,0.000215
1887,0.000000,0.000178
1888,0.000000,0.000150
1889,0.000000,0.000215
1890,0.000000,0.000196
1891,0.000000,0.000174
1892,0.000000,0.000179
1893,0.000000,0.000197
1894,0.000000,0.000186
1895,0.000014,0.000188
1896,0.000017,0.000193
1897,0.000000,0.000167
1898,0.000000,0.000168
1899,0.000000,0.000195
1900,0.000000,0.000193
1901,0.000000,0.000188
1902,0.000000,0.000155
1903,0.000000,0.000178
1904,0.000000,0.000216
1905,0.000000,0.000200
1906,0.000000,0.000180
1907,0.000000,0.000191
1908,0.000010,0.000203
1909,0.000000,0.000239
1910,0.000000,0.000166
1911,0.000008,0.000241
1912,0.000000,0.000332
1913,0.000005,0.000343
1914,0.000005,0.000374
1915,0.000004,0.000362
1916,0.000008,0.000382
1917,0.000003,0.000401
1918,0.000006,0.000455
1919,0.000006,0.000417
1920,0.000008,0.000440
1921,0.000006,0.000459
1922,0.000005,0.000483
1923,0.000006,0.000531
1924,0.000005,0.000551
1925,0.000003,0.000581
1926,0.000004,0.000615
1927,0.000006,0.000629
1928,0.000009,0.000721
1929,0.000005,0.000737
1930,0.000007,0.000771
1931,0.000005,0.000849
1932,0.000006,0.000918
1933,0.000006,0.001018
1934,0.000006,0.001157
1935,0.000004,0.001172
1936,0.000004,0.001266
1937,0.000007,0.001318
1938,0.000007,0.001414
1939,0.000003,0.001467
1940,0.000007,0.001646
1941,0.000005,0.001764
1942,0.000006,0.001971
1943,0.000007,0.001925
1944,0.000006,0.001955
1945,0.000005,0.002115
1946,0.000006,0.002647
1947,0.000007,0.002923
1948,0.000008,0.003204
1949,0.000009,0.003521
1950,0.000008,0.003616
1951,0.000010,0.003823
1952,0.000008,0.003814
1953,0.000008,0.003640
1954,0.000009,0.003554
1955,0.000008,0.003507
1956,0.000008,0.003555
1957,0.000007,0.003304
1958,0.000009,0.003015
1959,0.000009,0.002865
1960,0.000008,0.002635
1961,0.000007,0.002589
1962,0.000008,0.002489
1963,0.000008,0.002347
1964,0.000010,0.002031
1965,0.000007,0.001745
1966,0.000009,0.001681
1967,0.000006,0.001493
1968,0.000008,0.001329
1969,0.000005,0.001164
1970,0.000004,0.000967
1971,0.000006,0.000865
1972,0.000005,0.000737
1973,0.000005,0.000635
1974,0.000005,0.000610
1975,0.000003,0.000594
1976,0.000006,0.000557
1977,0.000004,0.000536
1978,0.000004,0.000536
1979,0.000004,0.000515
1980,0.000005,0.000479
1981,0.000002,0.000472
1982,0.000003,0.000452
1983,0.000003,0.000415
1984,0.000003,0.000419
1985,0.000004,0.000396
1986,0.000002,0.000379
1987,0.000002,0.000362
1988,0.000002,0.000347
1989,0.000000,0.000315
1990,0.000000,0.000296
1991,0.000002,0.000267
1992,0.000000,0.000240
1993,0.000000,0.000218
1994,0.000000,0.000201
1995,0.000001,0.000182
1996,0.000000,0.000182
1997,0.000000,0.000174
1998,0.000000,0.000177
1999,0.000000,0.000159
2000,0.000000,0.000149
2001,0.000000,0.000155
2002,0.000000,0.000137
2003,0.000000,0.000134
2004,0.000000,0.000139
2005,0.000000,0.000127
2006,0.000000,0.000139
2007,0.000000,0.000159
2008,0.000000,0.000148
2009,0.000000,0.000154
2010,0.000000,0.000132
2011,0.000000,0.000157
2012,0.000000,0.000183
2013,0.000000,0.000195
