year,Beatriz
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,9
1895,8
1896,7
1897,0
1898,0
1899,0
1900,9
1901,7
1902,8
1903,12
1904,8
1905,10
1906,11
1907,8
1908,11
1909,15
1910,14
1911,16
1912,14
1913,21
1914,29
1915,25
1916,32
1917,45
1918,38
1919,33
1920,50
1921,57
1922,55
1923,62
1924,55
1925,47
1926,74
1927,71
1928,77
1929,88
1930,84
1931,77
1932,77
1933,51
1934,64
1935,51
1936,47
1937,53
1938,37
1939,35
1940,52
1941,32
1942,40
1943,56
1944,55
1945,55
1946,72
1947,50
1948,64
1949,66
1950,66
1951,62
1952,75
1953,59
1954,70
1955,74
1956,80
1957,100
1958,101
1959,107
1960,95
1961,113
1962,119
1963,150
1964,142
1965,146
1966,152
1967,171
1968,158
1969,203
1970,215
1971,223
1972,186
1973,187
1974,211
1975,190
1976,201
1977,208
1978,228
1979,231
1980,251
1981,312
1982,306
1983,261
1984,257
1985,248
1986,236
1987,258
1988,420
1989,455
1990,521
1991,514
1992,514
1993,513
1994,436
1995,428
1996,382
1997,361
1998,358
1999,375
2000,356
2001,337
2002,263
2003,252
2004,258
2005,233
2006,226
2007,217
2008,210
2009,176
2010,152
2011,142
2012,119
