year,Bina
1880,0
1881,5
1882,0
1883,5
1884,5
1885,11
1886,6
1887,8
1888,6
1889,6
1890,9
1891,6
1892,8
1893,0
1894,0
1895,7
1896,9
1897,8
1898,10
1899,9
1900,15
1901,0
1902,9
1903,7
1904,0
1905,6
1906,5
1907,6
1908,7
1909,9
1910,0
1911,7
1912,7
1913,12
1914,15
1915,23
1916,11
1917,10
1918,10
1919,13
1920,9
1921,17
1922,7
1923,11
1924,13
1925,13
1926,12
1927,11
1928,14
1929,20
1930,7
1931,13
1932,12
1933,11
1934,9
1935,0
1936,0
1937,8
1938,8
1939,0
1940,13
1941,5
1942,0
1943,5
1944,7
1945,5
1946,0
1947,0
1948,8
1949,11
1950,0
1951,6
1952,5
1953,7
1954,6
1955,9
1956,11
1957,5
1958,0
1959,0
1960,0
1961,0
1962,7
1963,0
1964,7
1965,0
1966,0
1967,6
1968,8
1969,10
1970,0
1971,0
1972,0
1973,9
1974,7
1975,15
1976,14
1977,10
1978,9
1979,12
1980,8
1981,8
1982,9
1983,11
1984,14
1985,10
1986,5
1987,11
1988,16
1989,6
1990,6
1991,11
1992,7
1993,10
1994,7
1995,12
1996,6
1997,8
1998,6
1999,0
2000,6
2001,15
2002,12
2003,9
2004,9
2005,6
2006,12
2007,11
2008,12
2009,22
2010,8
2011,14
2012,17
