year,Bethel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,17
1892,18
1893,19
1894,10
1895,14
1896,14
1897,18
1898,26
1899,18
1900,35
1901,20
1902,21
1903,20
1904,21
1905,32
1906,32
1907,37
1908,35
1909,43
1910,40
1911,33
1912,67
1913,81
1914,107
1915,118
1916,137
1917,138
1918,146
1919,144
1920,129
1921,136
1922,149
1923,135
1924,148
1925,124
1926,103
1927,117
1928,90
1929,90
1930,98
1931,85
1932,86
1933,74
1934,83
1935,76
1936,78
1937,72
1938,76
1939,61
1940,72
1941,67
1942,46
1943,71
1944,45
1945,41
1946,49
1947,49
1948,46
1949,35
1950,48
1951,56
1952,35
1953,26
1954,29
1955,35
1956,29
1957,31
1958,33
1959,21
1960,23
1961,22
1962,29
1963,26
1964,25
1965,25
1966,26
1967,40
1968,17
1969,24
1970,20
1971,17
1972,10
1973,21
1974,7
1975,21
1976,15
1977,18
1978,9
1979,10
1980,17
1981,6
1982,8
1983,14
1984,11
1985,11
1986,10
1987,6
1988,15
1989,13
1990,10
1991,13
1992,10
1993,13
1994,12
1995,0
1996,16
1997,12
1998,11
1999,14
2000,26
2001,24
2002,33
2003,24
2004,45
2005,35
2006,24
2007,33
2008,38
2009,49
2010,47
2011,48
2012,58
