year,Belinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,7
1891,0
1892,0
1893,0
1894,6
1895,0
1896,0
1897,5
1898,0
1899,5
1900,0
1901,6
1902,0
1903,6
1904,0
1905,8
1906,0
1907,6
1908,6
1909,0
1910,6
1911,8
1912,5
1913,0
1914,10
1915,13
1916,10
1917,6
1918,18
1919,7
1920,11
1921,17
1922,10
1923,7
1924,7
1925,9
1926,14
1927,17
1928,6
1929,10
1930,12
1931,7
1932,16
1933,10
1934,19
1935,15
1936,28
1937,29
1938,43
1939,41
1940,59
1941,73
1942,72
1943,84
1944,96
1945,108
1946,187
1947,242
1948,432
1949,1508
1950,1642
1951,1794
1952,1832
1953,1789
1954,1681
1955,2033
1956,2191
1957,2357
1958,2828
1959,2820
1960,2826
1961,3119
1962,2845
1963,2694
1964,2386
1965,2032
1966,1752
1967,1814
1968,1857
1969,1682
1970,1621
1971,1893
1972,1538
1973,1497
1974,1200
1975,1138
1976,1048
1977,950
1978,852
1979,776
1980,685
1981,640
1982,671
1983,581
1984,492
1985,444
1986,468
1987,469
1988,504
1989,422
1990,363
1991,356
1992,288
1993,292
1994,247
1995,191
1996,197
1997,173
1998,151
1999,120
2000,127
2001,124
2002,134
2003,131
2004,220
2005,369
2006,339
2007,472
2008,394
2009,339
2010,308
2011,237
2012,235
