year,Barbara (F),Barbara (M)
1880,0.000630,0.000000
1881,0.000675,0.000000
1882,0.000587,0.000000
1883,0.000622,0.000000
1884,0.000793,0.000000
1885,0.000810,0.000000
1886,0.000811,0.000000
1887,0.000825,0.000000
1888,0.000845,0.000000
1889,0.000851,0.000000
1890,0.000800,0.000000
1891,0.000771,0.000000
1892,0.000831,0.000000
1893,0.000784,0.000000
1894,0.000856,0.000000
1895,0.000849,0.000000
1896,0.000906,0.000000
1897,0.000862,0.000000
1898,0.000797,0.000000
1899,0.000805,0.000000
1900,0.000757,0.000000
1901,0.000801,0.000000
1902,0.000791,0.000000
1903,0.000908,0.000000
1904,0.000885,0.000000
1905,0.000863,0.000000
1906,0.000964,0.000000
1907,0.001107,0.000000
1908,0.001052,0.000000
1909,0.001109,0.000000
1910,0.001038,0.000000
1911,0.001144,0.000000
1912,0.001198,0.000000
1913,0.001275,0.000006
1914,0.001456,0.000000
1915,0.001477,0.000000
1916,0.001609,0.000003
1917,0.001761,0.000003
1918,0.001945,0.000003
1919,0.001935,0.000003
1920,0.002257,0.000004
1921,0.002577,0.000005
1922,0.002739,0.000004
1923,0.003131,0.000004
1924,0.003488,0.000005
1925,0.003924,0.000011
1926,0.004824,0.000015
1927,0.005676,0.000018
1928,0.006577,0.000019
1929,0.007317,0.000029
1930,0.008226,0.000033
1931,0.010362,0.000040
1932,0.012467,0.000049
1933,0.013481,0.000060
1934,0.014078,0.000057
1935,0.014690,0.000059
1936,0.015250,0.000053
1937,0.016388,0.000068
1938,0.017753,0.000073
1939,0.016913,0.000068
1940,0.015956,0.000061
1941,0.016230,0.000064
1942,0.016379,0.000060
1943,0.015390,0.000053
1944,0.014571,0.000045
1945,0.014428,0.000033
1946,0.014122,0.000034
1947,0.013547,0.000025
1948,0.013562,0.000022
1949,0.012230,0.000019
1950,0.011859,0.000020
1951,0.011024,0.000019
1952,0.010502,0.000019
1953,0.009984,0.000019
1954,0.009144,0.000015
1955,0.008371,0.000020
1956,0.007837,0.000018
1957,0.007069,0.000016
1958,0.006749,0.000014
1959,0.006100,0.000016
1960,0.005883,0.000015
1961,0.005552,0.000014
1962,0.005117,0.000019
1963,0.004619,0.000016
1964,0.004237,0.000013
1965,0.003868,0.000011
1966,0.003776,0.000013
1967,0.003299,0.000013
1968,0.002884,0.000010
1969,0.002533,0.000009
1970,0.002224,0.000007
1971,0.001881,0.000008
1972,0.001617,0.000007
1973,0.001470,0.000004
1974,0.001285,0.000004
1975,0.001145,0.000006
1976,0.000979,0.000003
1977,0.000895,0.000005
1978,0.000812,0.000003
1979,0.000748,0.000005
1980,0.000748,0.000004
1981,0.000731,0.000004
1982,0.000668,0.000003
1983,0.000583,0.000003
1984,0.000535,0.000005
1985,0.000469,0.000003
1986,0.000417,0.000002
1987,0.000453,0.000002
1988,0.000407,0.000002
1989,0.000388,0.000003
1990,0.000351,0.000001
1991,0.000317,0.000002
1992,0.000292,0.000002
1993,0.000250,0.000001
1994,0.000233,0.000000
1995,0.000204,0.000000
1996,0.000183,0.000000
1997,0.000187,0.000000
1998,0.000153,0.000000
1999,0.000148,0.000000
2000,0.000137,0.000000
2001,0.000130,0.000000
2002,0.000130,0.000000
2003,0.000112,0.000000
2004,0.000110,0.000000
2005,0.000103,0.000000
2006,0.000137,0.000000
2007,0.000119,0.000000
2008,0.000100,0.000000
2009,0.000119,0.000000
2010,0.000110,0.000000
2011,0.000099,0.000000
2012,0.000080,0.000000
2013,0.000086,0.000000
