year,Bettie
1880,113
1881,103
1882,136
1883,130
1884,118
1885,127
1886,141
1887,117
1888,169
1889,144
1890,136
1891,138
1892,155
1893,129
1894,118
1895,133
1896,125
1897,138
1898,150
1899,135
1900,167
1901,111
1902,145
1903,123
1904,155
1905,128
1906,110
1907,157
1908,130
1909,137
1910,166
1911,153
1912,191
1913,216
1914,256
1915,347
1916,339
1917,447
1918,522
1919,608
1920,777
1921,818
1922,868
1923,1063
1924,1233
1925,1204
1926,1188
1927,1078
1928,1096
1929,1035
1930,1009
1931,1031
1932,1004
1933,932
1934,919
1935,829
1936,831
1937,763
1938,878
1939,780
1940,747
1941,736
1942,724
1943,782
1944,719
1945,697
1946,680
1947,649
1948,615
1949,538
1950,437
1951,490
1952,370
1953,326
1954,323
1955,277
1956,244
1957,273
1958,205
1959,235
1960,174
1961,144
1962,119
1963,100
1964,98
1965,75
1966,68
1967,62
1968,63
1969,66
1970,53
1971,53
1972,32
1973,36
1974,29
1975,28
1976,20
1977,27
1978,18
1979,26
1980,23
1981,17
1982,17
1983,24
1984,14
1985,16
1986,14
1987,19
1988,11
1989,20
1990,11
1991,11
1992,0
1993,11
1994,7
1995,6
1996,10
1997,8
1998,8
1999,9
2000,8
2001,9
2002,7
2003,0
2004,6
2005,8
2006,10
2007,12
2008,14
2009,13
2010,13
2011,17
2012,13
