year,Burl
1880,14
1881,11
1882,18
1883,11
1884,9
1885,17
1886,21
1887,19
1888,20
1889,12
1890,12
1891,20
1892,16
1893,12
1894,12
1895,8
1896,15
1897,15
1898,12
1899,13
1900,18
1901,15
1902,9
1903,21
1904,9
1905,21
1906,16
1907,21
1908,21
1909,29
1910,37
1911,28
1912,66
1913,86
1914,92
1915,130
1916,150
1917,130
1918,140
1919,130
1920,174
1921,211
1922,190
1923,157
1924,159
1925,150
1926,152
1927,164
1928,177
1929,141
1930,134
1931,156
1932,144
1933,113
1934,120
1935,137
1936,127
1937,127
1938,109
1939,125
1940,113
1941,100
1942,119
1943,109
1944,85
1945,84
1946,102
1947,106
1948,93
1949,82
1950,98
1951,95
1952,82
1953,88
1954,88
1955,96
1956,82
1957,69
1958,67
1959,65
1960,59
1961,52
1962,45
1963,47
1964,48
1965,45
1966,34
1967,39
1968,43
1969,40
1970,36
1971,32
1972,31
1973,30
1974,30
1975,21
1976,20
1977,22
1978,24
1979,19
1980,27
1981,18
1982,18
1983,14
1984,19
1985,12
1986,11
1987,7
1988,13
1989,5
1990,6
1991,11
1992,8
1993,10
1994,0
1995,7
1996,0
1997,0
1998,0
1999,0
2000,6
2001,7
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,6
2011,0
2012,0
