year,Bernita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,9
1901,0
1902,0
1903,0
1904,0
1905,5
1906,5
1907,0
1908,0
1909,9
1910,17
1911,18
1912,26
1913,32
1914,41
1915,53
1916,56
1917,51
1918,93
1919,65
1920,81
1921,70
1922,59
1923,73
1924,86
1925,88
1926,81
1927,64
1928,85
1929,67
1930,73
1931,68
1932,57
1933,89
1934,86
1935,75
1936,74
1937,50
1938,59
1939,54
1940,54
1941,55
1942,64
1943,66
1944,51
1945,48
1946,65
1947,56
1948,51
1949,74
1950,69
1951,89
1952,92
1953,96
1954,117
1955,88
1956,89
1957,76
1958,80
1959,75
1960,80
1961,73
1962,83
1963,91
1964,74
1965,67
1966,67
1967,57
1968,60
1969,48
1970,54
1971,48
1972,34
1973,39
1974,34
1975,21
1976,26
1977,21
1978,19
1979,26
1980,21
1981,26
1982,16
1983,28
1984,19
1985,15
1986,16
1987,12
1988,7
1989,13
1990,16
1991,11
1992,6
1993,5
1994,5
1995,7
1996,0
1997,5
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
