year,Bailey
1880,12
1881,8
1882,8
1883,8
1884,6
1885,7
1886,7
1887,6
1888,6
1889,10
1890,13
1891,10
1892,10
1893,16
1894,11
1895,10
1896,8
1897,13
1898,14
1899,11
1900,19
1901,12
1902,10
1903,5
1904,10
1905,10
1906,15
1907,14
1908,7
1909,9
1910,10
1911,11
1912,26
1913,24
1914,34
1915,34
1916,56
1917,33
1918,37
1919,36
1920,48
1921,48
1922,39
1923,33
1924,44
1925,36
1926,32
1927,36
1928,45
1929,35
1930,42
1931,35
1932,41
1933,35
1934,30
1935,37
1936,34
1937,41
1938,34
1939,38
1940,31
1941,33
1942,31
1943,27
1944,32
1945,31
1946,31
1947,28
1948,27
1949,31
1950,35
1951,29
1952,33
1953,26
1954,29
1955,28
1956,32
1957,31
1958,21
1959,28
1960,15
1961,14
1962,21
1963,22
1964,23
1965,15
1966,23
1967,26
1968,13
1969,27
1970,21
1971,24
1972,15
1973,18
1974,16
1975,19
1976,15
1977,18
1978,23
1979,36
1980,84
1981,109
1982,151
1983,183
1984,307
1985,347
1986,540
1987,676
1988,1019
1989,1139
1990,1346
1991,1535
1992,1848
1993,2264
1994,2538
1995,4498
1996,5741
1997,7317
1998,7434
1999,7016
2000,6402
2001,5573
2002,4511
2003,4224
2004,3905
2005,3464
2006,3341
2007,4282
2008,4172
2009,3853
2010,3779
2011,3469
2012,3518
