year,Blythe
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,0
1915,16
1916,0
1917,15
1918,12
1919,8
1920,0
1921,6
1922,16
1923,10
1924,6
1925,0
1926,6
1927,7
1928,12
1929,5
1930,7
1931,5
1932,8
1933,7
1934,0
1935,11
1936,0
1937,0
1938,0
1939,0
1940,8
1941,13
1942,5
1943,0
1944,15
1945,13
1946,12
1947,15
1948,9
1949,19
1950,22
1951,19
1952,28
1953,22
1954,22
1955,16
1956,29
1957,24
1958,23
1959,23
1960,22
1961,24
1962,34
1963,32
1964,18
1965,26
1966,19
1967,25
1968,20
1969,23
1970,50
1971,28
1972,35
1973,55
1974,109
1975,66
1976,58
1977,59
1978,66
1979,63
1980,47
1981,71
1982,76
1983,66
1984,91
1985,84
1986,68
1987,72
1988,61
1989,51
1990,78
1991,64
1992,50
1993,46
1994,53
1995,53
1996,43
1997,64
1998,47
1999,61
2000,71
2001,66
2002,83
2003,78
2004,82
2005,87
2006,73
2007,70
2008,78
2009,96
2010,90
2011,111
2012,172
