year,Booker
1880,0
1881,0
1882,5
1883,0
1884,6
1885,0
1886,0
1887,0
1888,0
1889,5
1890,5
1891,0
1892,5
1893,0
1894,5
1895,5
1896,8
1897,15
1898,16
1899,20
1900,46
1901,29
1902,61
1903,80
1904,93
1905,93
1906,95
1907,100
1908,111
1909,101
1910,159
1911,110
1912,161
1913,151
1914,218
1915,272
1916,294
1917,233
1918,237
1919,216
1920,195
1921,179
1922,198
1923,185
1924,182
1925,169
1926,164
1927,176
1928,169
1929,157
1930,200
1931,149
1932,153
1933,146
1934,164
1935,130
1936,150
1937,134
1938,166
1939,148
1940,156
1941,146
1942,160
1943,168
1944,154
1945,135
1946,156
1947,158
1948,147
1949,167
1950,145
1951,135
1952,138
1953,138
1954,93
1955,127
1956,115
1957,109
1958,97
1959,89
1960,66
1961,69
1962,77
1963,63
1964,76
1965,65
1966,53
1967,52
1968,48
1969,45
1970,63
1971,51
1972,41
1973,42
1974,39
1975,39
1976,39
1977,34
1978,32
1979,46
1980,43
1981,37
1982,30
1983,24
1984,25
1985,32
1986,20
1987,30
1988,30
1989,23
1990,32
1991,27
1992,23
1993,24
1994,17
1995,18
1996,21
1997,20
1998,14
1999,21
2000,18
2001,17
2002,13
2003,18
2004,14
2005,19
2006,22
2007,21
2008,21
2009,24
2010,30
2011,22
2012,38
