year,Tully
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,9
1915,8
1916,9
1917,6
1918,8
1919,9
1920,0
1921,5
1922,14
1923,5
1924,10
1925,11
1926,10
1927,6
1928,0
1929,9
1930,10
1931,0
1932,9
1933,10
1934,7
1935,5
1936,9
1937,5
1938,11
1939,7
1940,7
1941,6
1942,5
1943,0
1944,0
1945,6
1946,11
1947,0
1948,9
1949,0
1950,8
1951,8
1952,7
1953,0
1954,12
1955,8
1956,8
1957,9
1958,7
1959,8
1960,12
1961,14
1962,11
1963,12
1964,13
1965,12
1966,6
1967,5
1968,13
1969,12
1970,11
1971,12
1972,12
1973,11
1974,13
1975,13
1976,17
1977,6
1978,9
1979,8
1980,6
1981,9
1982,7
1983,7
1984,5
1985,11
1986,12
1987,14
1988,11
1989,7
1990,12
1991,8
1992,12
1993,10
1994,9
1995,13
1996,19
1997,12
1998,16
1999,11
2000,0
2001,5
2002,5
2003,5
2004,24
2005,17
2006,14
2007,19
2008,17
2009,10
2010,25
2011,10
2012,14
