year,Toy
1880,0
1881,0
1882,0
1883,6
1884,5
1885,0
1886,0
1887,0
1888,0
1889,5
1890,5
1891,0
1892,0
1893,0
1894,7
1895,12
1896,7
1897,0
1898,10
1899,10
1900,6
1901,9
1902,11
1903,16
1904,14
1905,7
1906,18
1907,10
1908,14
1909,7
1910,8
1911,15
1912,29
1913,26
1914,30
1915,46
1916,32
1917,31
1918,40
1919,51
1920,46
1921,46
1922,34
1923,29
1924,33
1925,28
1926,31
1927,39
1928,27
1929,32
1930,25
1931,20
1932,37
1933,33
1934,29
1935,15
1936,20
1937,27
1938,11
1939,17
1940,19
1941,27
1942,18
1943,28
1944,25
1945,13
1946,25
1947,21
1948,17
1949,18
1950,30
1951,26
1952,23
1953,28
1954,21
1955,24
1956,7
1957,21
1958,24
1959,24
1960,26
1961,20
1962,33
1963,20
1964,19
1965,17
1966,19
1967,26
1968,23
1969,23
1970,23
1971,37
1972,16
1973,26
1974,19
1975,41
1976,14
1977,21
1978,18
1979,18
1980,9
1981,15
1982,16
1983,12
1984,17
1985,5
1986,7
1987,12
1988,11
1989,7
1990,13
1991,12
1992,0
1993,0
1994,6
1995,0
1996,0
1997,7
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
