year,Tomie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,7
1892,10
1893,9
1894,0
1895,0
1896,5
1897,5
1898,9
1899,0
1900,7
1901,6
1902,11
1903,5
1904,6
1905,9
1906,8
1907,11
1908,7
1909,15
1910,11
1911,15
1912,22
1913,24
1914,28
1915,36
1916,30
1917,33
1918,43
1919,53
1920,38
1921,38
1922,44
1923,39
1924,49
1925,43
1926,37
1927,44
1928,27
1929,38
1930,25
1931,27
1932,29
1933,20
1934,14
1935,15
1936,6
1937,22
1938,18
1939,16
1940,10
1941,9
1942,19
1943,16
1944,14
1945,0
1946,8
1947,10
1948,0
1949,12
1950,13
1951,16
1952,14
1953,0
1954,6
1955,8
1956,14
1957,0
1958,5
1959,5
1960,7
1961,0
1962,12
1963,8
1964,11
1965,0
1966,0
1967,9
1968,5
1969,5
1970,0
1971,7
1972,0
1973,0
1974,11
1975,6
1976,10
1977,6
1978,0
1979,12
1980,0
1981,6
1982,0
1983,5
1984,0
1985,8
1986,0
1987,5
1988,0
1989,0
1990,6
1991,0
1992,7
1993,8
1994,0
1995,0
1996,5
1997,0
1998,0
1999,9
2000,0
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
