year,Theadore
1880,5
1881,0
1882,6
1883,7
1884,10
1885,5
1886,7
1887,0
1888,0
1889,7
1890,0
1891,0
1892,0
1893,6
1894,5
1895,0
1896,7
1897,5
1898,10
1899,5
1900,13
1901,10
1902,12
1903,11
1904,15
1905,17
1906,8
1907,16
1908,15
1909,20
1910,10
1911,15
1912,29
1913,33
1914,34
1915,59
1916,49
1917,58
1918,73
1919,68
1920,77
1921,78
1922,74
1923,68
1924,83
1925,87
1926,77
1927,91
1928,71
1929,64
1930,85
1931,76
1932,70
1933,72
1934,72
1935,57
1936,81
1937,60
1938,76
1939,54
1940,74
1941,62
1942,71
1943,69
1944,54
1945,51
1946,47
1947,65
1948,50
1949,47
1950,57
1951,57
1952,63
1953,69
1954,48
1955,61
1956,53
1957,44
1958,51
1959,35
1960,35
1961,41
1962,43
1963,31
1964,34
1965,36
1966,32
1967,18
1968,24
1969,29
1970,29
1971,25
1972,19
1973,19
1974,9
1975,9
1976,15
1977,21
1978,16
1979,13
1980,13
1981,19
1982,8
1983,12
1984,12
1985,10
1986,5
1987,10
1988,7
1989,14
1990,0
1991,9
1992,9
1993,9
1994,9
1995,7
1996,0
1997,0
1998,0
1999,7
2000,6
2001,5
2002,0
2003,0
2004,0
2005,7
2006,0
2007,5
2008,5
2009,0
2010,0
2011,0
2012,6
