year,Tomasa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,0
1889,6
1890,0
1891,6
1892,6
1893,5
1894,8
1895,5
1896,8
1897,10
1898,8
1899,15
1900,19
1901,11
1902,10
1903,11
1904,10
1905,19
1906,16
1907,14
1908,14
1909,21
1910,20
1911,23
1912,45
1913,59
1914,32
1915,29
1916,39
1917,30
1918,42
1919,60
1920,61
1921,71
1922,57
1923,71
1924,72
1925,93
1926,76
1927,79
1928,75
1929,76
1930,56
1931,69
1932,44
1933,56
1934,56
1935,28
1936,44
1937,31
1938,38
1939,45
1940,15
1941,43
1942,44
1943,33
1944,25
1945,28
1946,23
1947,31
1948,33
1949,35
1950,32
1951,34
1952,38
1953,24
1954,25
1955,25
1956,23
1957,19
1958,31
1959,20
1960,22
1961,18
1962,20
1963,21
1964,14
1965,19
1966,15
1967,17
1968,21
1969,11
1970,20
1971,19
1972,10
1973,17
1974,19
1975,21
1976,14
1977,10
1978,19
1979,14
1980,11
1981,25
1982,18
1983,8
1984,19
1985,15
1986,24
1987,11
1988,9
1989,11
1990,17
1991,8
1992,13
1993,9
1994,6
1995,16
1996,12
1997,17
1998,9
1999,0
2000,11
2001,9
2002,5
2003,10
2004,0
2005,12
2006,10
2007,0
2008,13
2009,13
2010,11
2011,5
2012,6
