year,Tonie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,5
1892,6
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,7
1915,6
1916,8
1917,17
1918,14
1919,15
1920,14
1921,19
1922,10
1923,10
1924,5
1925,12
1926,12
1927,24
1928,11
1929,12
1930,12
1931,14
1932,13
1933,15
1934,8
1935,16
1936,18
1937,16
1938,12
1939,16
1940,23
1941,22
1942,19
1943,34
1944,37
1945,33
1946,30
1947,53
1948,45
1949,51
1950,53
1951,54
1952,53
1953,59
1954,60
1955,68
1956,76
1957,82
1958,82
1959,79
1960,87
1961,79
1962,65
1963,76
1964,75
1965,71
1966,50
1967,53
1968,73
1969,83
1970,71
1971,67
1972,54
1973,49
1974,43
1975,42
1976,31
1977,42
1978,42
1979,40
1980,17
1981,33
1982,45
1983,19
1984,24
1985,24
1986,38
1987,27
1988,27
1989,33
1990,26
1991,44
1992,31
1993,25
1994,30
1995,25
1996,23
1997,12
1998,15
1999,28
2000,14
2001,15
2002,6
2003,15
2004,9
2005,5
2006,16
2007,15
2008,8
2009,0
2010,11
2011,0
2012,5
