year,Tess
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,5
1897,9
1898,9
1899,9
1900,11
1901,6
1902,0
1903,7
1904,10
1905,13
1906,6
1907,10
1908,7
1909,13
1910,6
1911,11
1912,11
1913,7
1914,17
1915,13
1916,24
1917,19
1918,18
1919,29
1920,19
1921,19
1922,16
1923,11
1924,15
1925,21
1926,7
1927,11
1928,0
1929,9
1930,6
1931,0
1932,5
1933,8
1934,8
1935,0
1936,5
1937,0
1938,0
1939,5
1940,6
1941,5
1942,6
1943,5
1944,0
1945,9
1946,0
1947,5
1948,5
1949,5
1950,6
1951,6
1952,0
1953,6
1954,9
1955,16
1956,6
1957,10
1958,13
1959,17
1960,23
1961,20
1962,19
1963,26
1964,21
1965,14
1966,16
1967,50
1968,80
1969,92
1970,94
1971,80
1972,49
1973,40
1974,29
1975,32
1976,38
1977,20
1978,28
1979,14
1980,13
1981,103
1982,133
1983,191
1984,216
1985,218
1986,194
1987,184
1988,183
1989,270
1990,403
1991,465
1992,528
1993,524
1994,477
1995,435
1996,409
1997,448
1998,429
1999,437
2000,475
2001,393
2002,417
2003,494
2004,424
2005,461
2006,385
2007,311
2008,321
2009,340
2010,337
2011,281
2012,254
