year,Temple
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,7
1898,0
1899,5
1900,0
1901,0
1902,0
1903,6
1904,6
1905,0
1906,0
1907,8
1908,6
1909,0
1910,7
1911,0
1912,19
1913,19
1914,21
1915,15
1916,25
1917,22
1918,31
1919,21
1920,20
1921,29
1922,22
1923,32
1924,19
1925,15
1926,8
1927,19
1928,10
1929,14
1930,20
1931,7
1932,12
1933,17
1934,30
1935,22
1936,21
1937,25
1938,20
1939,25
1940,16
1941,21
1942,15
1943,19
1944,18
1945,17
1946,22
1947,20
1948,12
1949,18
1950,8
1951,20
1952,12
1953,25
1954,24
1955,12
1956,18
1957,18
1958,18
1959,13
1960,13
1961,29
1962,43
1963,24
1964,54
1965,48
1966,22
1967,44
1968,25
1969,73
1970,43
1971,104
1972,49
1973,34
1974,34
1975,40
1976,19
1977,17
1978,21
1979,24
1980,18
1981,9
1982,8
1983,15
1984,13
1985,13
1986,0
1987,16
1988,20
1989,15
1990,7
1991,11
1992,5
1993,7
1994,9
1995,16
1996,13
1997,18
1998,27
1999,13
2000,18
2001,8
2002,15
2003,8
2004,22
2005,17
2006,8
2007,17
2008,16
2009,16
2010,32
2011,14
2012,12
