year,Turner
1880,11
1881,18
1882,17
1883,11
1884,10
1885,13
1886,15
1887,13
1888,27
1889,18
1890,17
1891,11
1892,15
1893,20
1894,21
1895,13
1896,22
1897,15
1898,15
1899,16
1900,18
1901,14
1902,23
1903,12
1904,13
1905,25
1906,18
1907,19
1908,14
1909,24
1910,29
1911,24
1912,34
1913,36
1914,47
1915,68
1916,68
1917,68
1918,82
1919,59
1920,66
1921,81
1922,75
1923,54
1924,46
1925,60
1926,55
1927,46
1928,44
1929,49
1930,52
1931,39
1932,36
1933,42
1934,41
1935,31
1936,29
1937,33
1938,25
1939,46
1940,31
1941,20
1942,36
1943,33
1944,39
1945,38
1946,27
1947,40
1948,42
1949,36
1950,37
1951,38
1952,30
1953,45
1954,31
1955,34
1956,32
1957,29
1958,27
1959,16
1960,26
1961,21
1962,18
1963,25
1964,23
1965,14
1966,25
1967,22
1968,21
1969,18
1970,15
1971,19
1972,9
1973,13
1974,16
1975,12
1976,15
1977,11
1978,11
1979,15
1980,10
1981,21
1982,31
1983,34
1984,39
1985,48
1986,46
1987,46
1988,47
1989,54
1990,80
1991,85
1992,100
1993,103
1994,155
1995,154
1996,180
1997,179
1998,194
1999,201
2000,187
2001,201
2002,180
2003,162
2004,193
2005,161
2006,186
2007,219
2008,205
2009,190
2010,185
2011,230
2012,213
