year,Theressa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,5
1895,0
1896,0
1897,0
1898,7
1899,11
1900,9
1901,8
1902,8
1903,5
1904,0
1905,7
1906,0
1907,11
1908,9
1909,13
1910,7
1911,8
1912,10
1913,14
1914,8
1915,21
1916,26
1917,25
1918,22
1919,27
1920,19
1921,28
1922,20
1923,28
1924,26
1925,32
1926,20
1927,18
1928,22
1929,16
1930,26
1931,22
1932,23
1933,16
1934,20
1935,15
1936,22
1937,20
1938,14
1939,13
1940,18
1941,19
1942,12
1943,21
1944,17
1945,12
1946,17
1947,23
1948,29
1949,29
1950,28
1951,34
1952,33
1953,36
1954,46
1955,47
1956,46
1957,50
1958,40
1959,53
1960,38
1961,60
1962,42
1963,51
1964,33
1965,35
1966,34
1967,36
1968,41
1969,34
1970,36
1971,24
1972,28
1973,23
1974,23
1975,20
1976,12
1977,23
1978,7
1979,11
1980,18
1981,9
1982,9
1983,20
1984,10
1985,9
1986,9
1987,14
1988,11
1989,9
1990,10
1991,8
1992,11
1993,7
1994,12
1995,6
1996,9
1997,8
1998,0
1999,0
2000,7
2001,0
2002,10
2003,7
2004,6
2005,0
2006,0
2007,6
2008,7
2009,0
2010,0
2011,0
2012,0
