year,Trixie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,5
1895,5
1896,5
1897,9
1898,0
1899,6
1900,10
1901,10
1902,8
1903,6
1904,5
1905,0
1906,10
1907,8
1908,9
1909,0
1910,9
1911,14
1912,14
1913,8
1914,11
1915,24
1916,17
1917,12
1918,14
1919,7
1920,19
1921,7
1922,12
1923,18
1924,12
1925,17
1926,12
1927,9
1928,13
1929,5
1930,6
1931,0
1932,7
1933,5
1934,8
1935,9
1936,14
1937,8
1938,6
1939,12
1940,6
1941,7
1942,5
1943,9
1944,6
1945,8
1946,5
1947,10
1948,7
1949,9
1950,8
1951,15
1952,8
1953,6
1954,14
1955,9
1956,14
1957,7
1958,13
1959,14
1960,7
1961,13
1962,15
1963,13
1964,17
1965,13
1966,17
1967,18
1968,23
1969,25
1970,25
1971,34
1972,31
1973,25
1974,23
1975,29
1976,30
1977,12
1978,16
1979,7
1980,8
1981,12
1982,14
1983,7
1984,13
1985,5
1986,0
1987,0
1988,7
1989,0
1990,5
1991,5
1992,8
1993,0
1994,5
1995,0
1996,10
1997,5
1998,0
1999,0
2000,7
2001,6
2002,5
2003,11
2004,5
2005,8
2006,10
2007,7
2008,12
2009,20
2010,9
2011,7
2012,10
