year,Teressa
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,7
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,8
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,10
1908,0
1909,5
1910,7
1911,8
1912,6
1913,5
1914,7
1915,14
1916,6
1917,8
1918,17
1919,17
1920,16
1921,15
1922,20
1923,9
1924,9
1925,10
1926,6
1927,10
1928,16
1929,12
1930,11
1931,9
1932,5
1933,7
1934,8
1935,12
1936,12
1937,8
1938,13
1939,12
1940,9
1941,10
1942,11
1943,16
1944,16
1945,22
1946,19
1947,33
1948,55
1949,63
1950,57
1951,67
1952,87
1953,114
1954,146
1955,182
1956,182
1957,211
1958,219
1959,213
1960,266
1961,244
1962,250
1963,227
1964,236
1965,216
1966,203
1967,217
1968,196
1969,174
1970,183
1971,160
1972,138
1973,112
1974,101
1975,92
1976,80
1977,61
1978,81
1979,73
1980,63
1981,70
1982,61
1983,59
1984,44
1985,49
1986,42
1987,37
1988,40
1989,44
1990,31
1991,31
1992,49
1993,38
1994,36
1995,28
1996,42
1997,28
1998,29
1999,33
2000,23
2001,25
2002,26
2003,11
2004,15
2005,16
2006,19
2007,14
2008,12
2009,7
2010,10
2011,8
2012,7
