year,Tena
1880,19
1881,19
1882,25
1883,32
1884,34
1885,26
1886,29
1887,37
1888,39
1889,36
1890,37
1891,33
1892,49
1893,39
1894,38
1895,45
1896,38
1897,30
1898,46
1899,36
1900,49
1901,32
1902,26
1903,27
1904,34
1905,31
1906,38
1907,20
1908,33
1909,30
1910,23
1911,29
1912,42
1913,54
1914,44
1915,60
1916,49
1917,65
1918,53
1919,45
1920,49
1921,36
1922,45
1923,40
1924,48
1925,24
1926,42
1927,23
1928,27
1929,29
1930,29
1931,31
1932,22
1933,17
1934,18
1935,20
1936,14
1937,14
1938,24
1939,23
1940,28
1941,21
1942,27
1943,63
1944,59
1945,41
1946,54
1947,49
1948,54
1949,63
1950,65
1951,56
1952,82
1953,92
1954,93
1955,193
1956,267
1957,262
1958,256
1959,289
1960,318
1961,318
1962,345
1963,269
1964,230
1965,234
1966,201
1967,204
1968,197
1969,164
1970,146
1971,156
1972,121
1973,99
1974,100
1975,79
1976,71
1977,53
1978,46
1979,71
1980,40
1981,53
1982,35
1983,27
1984,27
1985,28
1986,30
1987,20
1988,17
1989,22
1990,15
1991,15
1992,12
1993,10
1994,10
1995,15
1996,16
1997,10
1998,10
1999,12
2000,8
2001,10
2002,5
2003,0
2004,5
2005,7
2006,6
2007,7
2008,7
2009,5
2010,9
2011,5
2012,12
