year,Tanya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,10
1915,6
1916,6
1917,6
1918,11
1919,9
1920,12
1921,6
1922,0
1923,0
1924,11
1925,9
1926,10
1927,8
1928,14
1929,14
1930,25
1931,31
1932,17
1933,21
1934,26
1935,38
1936,73
1937,47
1938,45
1939,60
1940,70
1941,99
1942,151
1943,195
1944,195
1945,188
1946,294
1947,309
1948,284
1949,271
1950,354
1951,385
1952,422
1953,534
1954,608
1955,696
1956,1013
1957,1203
1958,1246
1959,1460
1960,1543
1961,1655
1962,1813
1963,1854
1964,1970
1965,2020
1966,2177
1967,2672
1968,3410
1969,3978
1970,4883
1971,4864
1972,5428
1973,5658
1974,6036
1975,5405
1976,4842
1977,4108
1978,3588
1979,3235
1980,3448
1981,3421
1982,2609
1983,2236
1984,2123
1985,2123
1986,1769
1987,1761
1988,1511
1989,1393
1990,1125
1991,1114
1992,1053
1993,1118
1994,714
1995,622
1996,576
1997,472
1998,399
1999,403
2000,454
2001,416
2002,464
2003,451
2004,430
2005,400
2006,369
2007,354
2008,333
2009,268
2010,247
2011,222
2012,203
