year,Treva
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,5
1890,6
1891,11
1892,7
1893,8
1894,9
1895,11
1896,16
1897,16
1898,21
1899,21
1900,26
1901,23
1902,22
1903,25
1904,26
1905,26
1906,32
1907,38
1908,31
1909,34
1910,36
1911,40
1912,46
1913,48
1914,78
1915,96
1916,109
1917,137
1918,102
1919,142
1920,138
1921,142
1922,128
1923,128
1924,141
1925,121
1926,139
1927,132
1928,112
1929,125
1930,119
1931,102
1932,120
1933,109
1934,124
1935,134
1936,117
1937,148
1938,148
1939,151
1940,131
1941,125
1942,124
1943,103
1944,123
1945,106
1946,108
1947,141
1948,115
1949,116
1950,112
1951,130
1952,146
1953,114
1954,109
1955,123
1956,118
1957,136
1958,144
1959,134
1960,165
1961,161
1962,175
1963,150
1964,137
1965,121
1966,148
1967,134
1968,115
1969,124
1970,147
1971,145
1972,132
1973,114
1974,110
1975,89
1976,88
1977,79
1978,83
1979,84
1980,74
1981,49
1982,51
1983,53
1984,57
1985,43
1986,42
1987,37
1988,30
1989,24
1990,30
1991,23
1992,17
1993,27
1994,23
1995,21
1996,21
1997,15
1998,20
1999,10
2000,13
2001,12
2002,17
2003,14
2004,12
2005,13
2006,8
2007,5
2008,8
2009,7
2010,5
2011,8
2012,7
