year,Therese
1880,11
1881,6
1882,6
1883,5
1884,12
1885,13
1886,15
1887,9
1888,14
1889,11
1890,13
1891,23
1892,12
1893,20
1894,17
1895,33
1896,16
1897,26
1898,22
1899,22
1900,26
1901,8
1902,22
1903,30
1904,37
1905,28
1906,30
1907,39
1908,30
1909,32
1910,45
1911,37
1912,52
1913,74
1914,100
1915,115
1916,117
1917,111
1918,129
1919,119
1920,123
1921,145
1922,145
1923,204
1924,290
1925,533
1926,782
1927,839
1928,776
1929,664
1930,576
1931,456
1932,398
1933,306
1934,262
1935,296
1936,259
1937,228
1938,237
1939,212
1940,217
1941,214
1942,249
1943,233
1944,246
1945,273
1946,354
1947,409
1948,476
1949,496
1950,554
1951,606
1952,823
1953,827
1954,888
1955,1076
1956,1069
1957,1131
1958,1139
1959,1209
1960,1197
1961,1078
1962,1021
1963,969
1964,852
1965,721
1966,557
1967,442
1968,407
1969,339
1970,304
1971,238
1972,174
1973,229
1974,188
1975,174
1976,175
1977,154
1978,142
1979,168
1980,154
1981,163
1982,164
1983,154
1984,154
1985,151
1986,116
1987,133
1988,106
1989,134
1990,116
1991,113
1992,121
1993,113
1994,107
1995,108
1996,79
1997,98
1998,95
1999,103
2000,92
2001,118
2002,95
2003,71
2004,79
2005,89
2006,73
2007,71
2008,79
2009,76
2010,70
2011,47
2012,50
