year,Talmage
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,10
1889,5
1890,6
1891,9
1892,7
1893,6
1894,9
1895,15
1896,5
1897,5
1898,0
1899,0
1900,0
1901,7
1902,6
1903,0
1904,0
1905,7
1906,0
1907,0
1908,5
1909,7
1910,0
1911,13
1912,18
1913,21
1914,30
1915,47
1916,35
1917,36
1918,48
1919,43
1920,40
1921,39
1922,52
1923,41
1924,40
1925,40
1926,47
1927,41
1928,39
1929,40
1930,33
1931,45
1932,31
1933,38
1934,35
1935,19
1936,17
1937,26
1938,19
1939,29
1940,17
1941,13
1942,18
1943,20
1944,25
1945,22
1946,24
1947,21
1948,15
1949,17
1950,17
1951,15
1952,15
1953,10
1954,17
1955,13
1956,8
1957,11
1958,11
1959,11
1960,7
1961,15
1962,10
1963,9
1964,15
1965,8
1966,9
1967,5
1968,0
1969,8
1970,9
1971,8
1972,0
1973,8
1974,5
1975,0
1976,9
1977,7
1978,7
1979,7
1980,7
1981,11
1982,0
1983,13
1984,10
1985,11
1986,8
1987,10
1988,7
1989,0
1990,5
1991,6
1992,8
1993,11
1994,5
1995,14
1996,11
1997,6
1998,8
1999,16
2000,20
2001,20
2002,19
2003,30
2004,17
2005,28
2006,22
2007,28
2008,28
2009,30
2010,26
2011,29
2012,27
