year,Thomasina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,5
1907,5
1908,8
1909,7
1910,9
1911,7
1912,7
1913,11
1914,12
1915,19
1916,25
1917,19
1918,14
1919,21
1920,30
1921,31
1922,27
1923,25
1924,26
1925,36
1926,47
1927,39
1928,44
1929,31
1930,34
1931,39
1932,54
1933,33
1934,43
1935,32
1936,32
1937,42
1938,29
1939,38
1940,42
1941,44
1942,29
1943,40
1944,50
1945,54
1946,44
1947,66
1948,56
1949,49
1950,57
1951,53
1952,64
1953,69
1954,60
1955,72
1956,48
1957,53
1958,53
1959,43
1960,53
1961,45
1962,51
1963,46
1964,76
1965,75
1966,85
1967,59
1968,44
1969,57
1970,62
1971,48
1972,42
1973,70
1974,63
1975,75
1976,54
1977,41
1978,43
1979,41
1980,46
1981,33
1982,50
1983,41
1984,54
1985,58
1986,39
1987,36
1988,35
1989,32
1990,25
1991,23
1992,18
1993,21
1994,18
1995,13
1996,9
1997,21
1998,11
1999,9
2000,18
2001,18
2002,8
2003,6
2004,5
2005,10
2006,6
2007,7
2008,0
2009,9
2010,0
2011,6
2012,0
