year,Thalia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,0
1901,0
1902,6
1903,0
1904,9
1905,0
1906,11
1907,5
1908,10
1909,7
1910,12
1911,10
1912,17
1913,10
1914,15
1915,25
1916,27
1917,20
1918,26
1919,27
1920,25
1921,28
1922,25
1923,35
1924,43
1925,33
1926,31
1927,30
1928,28
1929,22
1930,24
1931,33
1932,51
1933,37
1934,30
1935,27
1936,34
1937,11
1938,31
1939,19
1940,21
1941,28
1942,24
1943,31
1944,31
1945,12
1946,28
1947,29
1948,26
1949,33
1950,29
1951,34
1952,23
1953,25
1954,27
1955,35
1956,29
1957,43
1958,24
1959,30
1960,90
1961,46
1962,42
1963,42
1964,46
1965,46
1966,39
1967,30
1968,38
1969,39
1970,34
1971,31
1972,30
1973,38
1974,39
1975,31
1976,34
1977,47
1978,47
1979,39
1980,37
1981,34
1982,32
1983,39
1984,34
1985,27
1986,29
1987,30
1988,129
1989,117
1990,155
1991,154
1992,279
1993,700
1994,340
1995,499
1996,488
1997,441
1998,377
1999,380
2000,398
2001,386
2002,422
2003,431
2004,494
2005,412
2006,357
2007,351
2008,318
2009,274
2010,272
2011,255
2012,274
