year,Tabitha
1880,8
1881,0
1882,6
1883,5
1884,0
1885,0
1886,6
1887,9
1888,6
1889,10
1890,5
1891,9
1892,6
1893,13
1894,7
1895,5
1896,7
1897,9
1898,7
1899,5
1900,0
1901,5
1902,7
1903,5
1904,0
1905,8
1906,0
1907,0
1908,10
1909,9
1910,5
1911,8
1912,8
1913,9
1914,5
1915,12
1916,14
1917,8
1918,11
1919,15
1920,9
1921,12
1922,13
1923,13
1924,10
1925,5
1926,9
1927,5
1928,0
1929,7
1930,0
1931,5
1932,5
1933,9
1934,5
1935,7
1936,8
1937,9
1938,11
1939,7
1940,8
1941,0
1942,13
1943,8
1944,8
1945,5
1946,0
1947,8
1948,9
1949,15
1950,12
1951,19
1952,10
1953,11
1954,12
1955,14
1956,18
1957,15
1958,15
1959,24
1960,29
1961,28
1962,13
1963,21
1964,22
1965,35
1966,326
1967,445
1968,548
1969,944
1970,1060
1971,947
1972,831
1973,814
1974,892
1975,921
1976,1003
1977,1384
1978,2325
1979,1829
1980,1797
1981,1922
1982,1941
1983,2172
1984,2111
1985,2166
1986,2018
1987,1817
1988,1853
1989,1859
1990,1765
1991,1574
1992,1606
1993,1450
1994,1391
1995,1290
1996,1228
1997,1217
1998,1110
1999,1060
2000,992
2001,902
2002,753
2003,755
2004,686
2005,629
2006,569
2007,550
2008,527
2009,460
2010,463
2011,416
2012,355
