year,Tekla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,7
1890,5
1891,6
1892,7
1893,5
1894,0
1895,7
1896,5
1897,0
1898,9
1899,0
1900,0
1901,6
1902,0
1903,0
1904,7
1905,0
1906,0
1907,0
1908,0
1909,5
1910,5
1911,5
1912,9
1913,13
1914,9
1915,12
1916,16
1917,15
1918,10
1919,9
1920,8
1921,5
1922,8
1923,5
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,7
1939,0
1940,0
1941,5
1942,6
1943,6
1944,5
1945,0
1946,5
1947,8
1948,6
1949,7
1950,0
1951,0
1952,0
1953,5
1954,5
1955,5
1956,0
1957,6
1958,0
1959,0
1960,9
1961,6
1962,0
1963,8
1964,8
1965,0
1966,0
1967,0
1968,6
1969,6
1970,0
1971,0
1972,0
1973,0
1974,10
1975,10
1976,5
1977,6
1978,8
1979,0
1980,0
1981,5
1982,0
1983,5
1984,0
1985,5
1986,0
1987,7
1988,5
1989,6
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,5
2001,0
2002,0
2003,0
2004,0
2005,6
2006,0
2007,0
2008,0
2009,8
2010,0
2011,0
2012,0
