year,Theron
1880,7
1881,0
1882,10
1883,11
1884,8
1885,0
1886,0
1887,8
1888,8
1889,11
1890,5
1891,6
1892,8
1893,8
1894,15
1895,11
1896,6
1897,16
1898,16
1899,10
1900,8
1901,10
1902,12
1903,19
1904,14
1905,11
1906,22
1907,15
1908,26
1909,30
1910,38
1911,38
1912,76
1913,78
1914,113
1915,148
1916,118
1917,135
1918,138
1919,150
1920,146
1921,151
1922,144
1923,123
1924,153
1925,124
1926,117
1927,94
1928,113
1929,101
1930,109
1931,118
1932,106
1933,95
1934,107
1935,85
1936,96
1937,93
1938,95
1939,111
1940,91
1941,117
1942,121
1943,113
1944,103
1945,113
1946,108
1947,103
1948,97
1949,104
1950,97
1951,91
1952,88
1953,100
1954,89
1955,77
1956,87
1957,110
1958,96
1959,87
1960,171
1961,143
1962,147
1963,125
1964,137
1965,96
1966,180
1967,163
1968,162
1969,159
1970,153
1971,153
1972,158
1973,172
1974,160
1975,148
1976,126
1977,148
1978,130
1979,134
1980,118
1981,111
1982,101
1983,123
1984,96
1985,94
1986,102
1987,107
1988,115
1989,116
1990,109
1991,100
1992,119
1993,101
1994,113
1995,106
1996,99
1997,92
1998,101
1999,90
2000,108
2001,103
2002,101
2003,97
2004,117
2005,119
2006,134
2007,105
2008,95
2009,97
2010,96
2011,87
2012,106
