year,Theda
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,9
1888,0
1889,0
1890,7
1891,0
1892,5
1893,0
1894,5
1895,0
1896,5
1897,10
1898,5
1899,5
1900,16
1901,8
1902,10
1903,9
1904,11
1905,6
1906,9
1907,7
1908,13
1909,11
1910,18
1911,15
1912,17
1913,17
1914,33
1915,124
1916,315
1917,334
1918,354
1919,356
1920,290
1921,293
1922,203
1923,220
1924,198
1925,184
1926,179
1927,132
1928,138
1929,142
1930,103
1931,106
1932,103
1933,77
1934,102
1935,82
1936,84
1937,105
1938,84
1939,90
1940,87
1941,78
1942,67
1943,73
1944,66
1945,65
1946,62
1947,88
1948,77
1949,65
1950,77
1951,67
1952,62
1953,82
1954,59
1955,60
1956,55
1957,56
1958,37
1959,44
1960,40
1961,39
1962,34
1963,30
1964,37
1965,30
1966,28
1967,32
1968,18
1969,26
1970,17
1971,17
1972,13
1973,11
1974,16
1975,12
1976,12
1977,14
1978,13
1979,11
1980,5
1981,13
1982,10
1983,0
1984,8
1985,0
1986,0
1987,0
1988,0
1989,0
1990,6
1991,8
1992,0
1993,7
1994,7
1995,0
1996,6
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,6
2008,0
2009,0
2010,0
2011,5
2012,0
