year,Tiny
1880,0
1881,5
1882,8
1883,0
1884,13
1885,0
1886,6
1887,7
1888,12
1889,6
1890,10
1891,5
1892,7
1893,14
1894,7
1895,0
1896,14
1897,7
1898,15
1899,7
1900,14
1901,14
1902,15
1903,13
1904,17
1905,16
1906,17
1907,14
1908,16
1909,20
1910,33
1911,19
1912,30
1913,31
1914,17
1915,42
1916,44
1917,50
1918,56
1919,47
1920,69
1921,40
1922,50
1923,64
1924,58
1925,60
1926,34
1927,41
1928,22
1929,38
1930,26
1931,30
1932,42
1933,35
1934,38
1935,34
1936,41
1937,32
1938,36
1939,36
1940,34
1941,22
1942,25
1943,16
1944,24
1945,26
1946,16
1947,17
1948,20
1949,17
1950,19
1951,24
1952,21
1953,21
1954,24
1955,29
1956,16
1957,18
1958,30
1959,20
1960,28
1961,18
1962,16
1963,13
1964,20
1965,20
1966,20
1967,15
1968,14
1969,13
1970,15
1971,8
1972,11
1973,11
1974,0
1975,11
1976,12
1977,7
1978,10
1979,12
1980,7
1981,5
1982,0
1983,5
1984,6
1985,0
1986,0
1987,7
1988,0
1989,0
1990,0
1991,0
1992,5
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
