year,Tillie
1880,83
1881,82
1882,104
1883,114
1884,145
1885,101
1886,143
1887,140
1888,154
1889,188
1890,207
1891,207
1892,195
1893,202
1894,198
1895,212
1896,189
1897,199
1898,225
1899,175
1900,201
1901,156
1902,159
1903,179
1904,189
1905,172
1906,161
1907,217
1908,198
1909,215
1910,219
1911,219
1912,283
1913,303
1914,404
1915,505
1916,457
1917,464
1918,388
1919,425
1920,370
1921,333
1922,327
1923,277
1924,298
1925,283
1926,216
1927,220
1928,197
1929,185
1930,148
1931,135
1932,139
1933,124
1934,108
1935,106
1936,110
1937,87
1938,102
1939,77
1940,81
1941,51
1942,67
1943,55
1944,60
1945,48
1946,47
1947,51
1948,47
1949,52
1950,32
1951,32
1952,32
1953,46
1954,30
1955,30
1956,25
1957,40
1958,16
1959,32
1960,25
1961,12
1962,28
1963,33
1964,17
1965,26
1966,11
1967,8
1968,17
1969,10
1970,13
1971,11
1972,9
1973,20
1974,17
1975,22
1976,13
1977,13
1978,15
1979,9
1980,18
1981,13
1982,7
1983,11
1984,16
1985,13
1986,6
1987,9
1988,14
1989,9
1990,12
1991,10
1992,0
1993,8
1994,7
1995,10
1996,8
1997,12
1998,9
1999,13
2000,18
2001,11
2002,13
2003,22
2004,13
2005,15
2006,29
2007,18
2008,24
2009,40
2010,23
2011,37
2012,41
