year,Timmie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,5
1913,0
1914,0
1915,0
1916,6
1917,0
1918,8
1919,6
1920,11
1921,0
1922,6
1923,5
1924,0
1925,6
1926,6
1927,6
1928,0
1929,0
1930,7
1931,14
1932,6
1933,10
1934,11
1935,11
1936,11
1937,16
1938,12
1939,18
1940,18
1941,19
1942,21
1943,22
1944,24
1945,32
1946,31
1947,34
1948,50
1949,42
1950,34
1951,50
1952,58
1953,50
1954,45
1955,50
1956,80
1957,101
1958,183
1959,198
1960,162
1961,157
1962,160
1963,153
1964,138
1965,107
1966,106
1967,107
1968,102
1969,98
1970,75
1971,58
1972,57
1973,45
1974,31
1975,46
1976,42
1977,38
1978,26
1979,15
1980,24
1981,39
1982,24
1983,26
1984,26
1985,17
1986,25
1987,20
1988,29
1989,21
1990,19
1991,15
1992,15
1993,18
1994,21
1995,18
1996,9
1997,12
1998,10
1999,19
2000,8
2001,10
2002,7
2003,6
2004,14
2005,16
2006,9
2007,8
2008,7
2009,0
2010,11
2011,6
2012,7
