year,Trinidad
1880,0
1881,0
1882,0
1883,0
1884,7
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,8
1892,6
1893,0
1894,0
1895,5
1896,11
1897,7
1898,5
1899,0
1900,7
1901,0
1902,11
1903,19
1904,18
1905,17
1906,11
1907,11
1908,10
1909,12
1910,24
1911,18
1912,30
1913,42
1914,35
1915,59
1916,141
1917,154
1918,184
1919,231
1920,301
1921,363
1922,393
1923,150
1924,147
1925,114
1926,128
1927,108
1928,137
1929,109
1930,104
1931,102
1932,84
1933,76
1934,86
1935,82
1936,88
1937,71
1938,71
1939,69
1940,68
1941,83
1942,91
1943,84
1944,75
1945,89
1946,100
1947,89
1948,100
1949,114
1950,95
1951,94
1952,99
1953,80
1954,73
1955,67
1956,64
1957,83
1958,74
1959,74
1960,68
1961,60
1962,64
1963,58
1964,61
1965,62
1966,67
1967,69
1968,67
1969,67
1970,85
1971,80
1972,85
1973,74
1974,69
1975,77
1976,83
1977,106
1978,96
1979,98
1980,101
1981,87
1982,78
1983,64
1984,72
1985,59
1986,66
1987,72
1988,61
1989,89
1990,78
1991,78
1992,78
1993,65
1994,72
1995,56
1996,61
1997,63
1998,70
1999,66
2000,85
2001,66
2002,71
2003,75
2004,52
2005,55
2006,78
2007,77
2008,67
2009,50
2010,34
2011,47
2012,34
