year,Thaddeus
1880,12
1881,12
1882,8
1883,11
1884,12
1885,14
1886,8
1887,9
1888,15
1889,10
1890,7
1891,9
1892,11
1893,7
1894,10
1895,0
1896,9
1897,14
1898,7
1899,19
1900,17
1901,11
1902,16
1903,11
1904,19
1905,10
1906,9
1907,14
1908,18
1909,30
1910,29
1911,40
1912,80
1913,103
1914,156
1915,254
1916,269
1917,268
1918,328
1919,267
1920,298
1921,283
1922,269
1923,288
1924,275
1925,234
1926,235
1927,203
1928,171
1929,163
1930,173
1931,139
1932,127
1933,122
1934,125
1935,92
1936,106
1937,121
1938,108
1939,107
1940,121
1941,116
1942,142
1943,129
1944,122
1945,140
1946,166
1947,167
1948,162
1949,160
1950,209
1951,186
1952,234
1953,210
1954,256
1955,221
1956,255
1957,215
1958,194
1959,206
1960,220
1961,222
1962,210
1963,214
1964,220
1965,180
1966,199
1967,228
1968,204
1969,203
1970,228
1971,326
1972,364
1973,326
1974,236
1975,252
1976,267
1977,257
1978,342
1979,307
1980,268
1981,244
1982,218
1983,223
1984,175
1985,229
1986,271
1987,239
1988,249
1989,294
1990,305
1991,274
1992,250
1993,298
1994,228
1995,203
1996,216
1997,216
1998,187
1999,184
2000,218
2001,214
2002,233
2003,182
2004,189
2005,192
2006,191
2007,228
2008,210
2009,191
2010,198
2011,223
2012,229
