year,Teodora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,6
1897,0
1898,0
1899,7
1900,0
1901,6
1902,0
1903,0
1904,0
1905,5
1906,0
1907,10
1908,0
1909,10
1910,10
1911,5
1912,9
1913,7
1914,11
1915,10
1916,11
1917,20
1918,14
1919,17
1920,15
1921,23
1922,15
1923,19
1924,18
1925,22
1926,17
1927,18
1928,22
1929,21
1930,12
1931,21
1932,12
1933,23
1934,15
1935,9
1936,11
1937,14
1938,12
1939,15
1940,16
1941,12
1942,8
1943,11
1944,13
1945,8
1946,12
1947,10
1948,11
1949,15
1950,6
1951,8
1952,5
1953,11
1954,0
1955,8
1956,6
1957,0
1958,10
1959,10
1960,0
1961,0
1962,0
1963,5
1964,0
1965,6
1966,7
1967,0
1968,7
1969,7
1970,0
1971,5
1972,9
1973,0
1974,6
1975,7
1976,5
1977,12
1978,8
1979,6
1980,12
1981,7
1982,5
1983,9
1984,5
1985,8
1986,8
1987,9
1988,5
1989,0
1990,5
1991,10
1992,8
1993,9
1994,5
1995,9
1996,5
1997,10
1998,9
1999,8
2000,12
2001,11
2002,0
2003,14
2004,17
2005,20
2006,19
2007,16
2008,19
2009,14
2010,15
2011,17
2012,12
