year,Talitha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,7
1893,5
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,7
1901,0
1902,12
1903,9
1904,0
1905,7
1906,0
1907,0
1908,8
1909,0
1910,0
1911,7
1912,5
1913,9
1914,5
1915,12
1916,13
1917,9
1918,15
1919,11
1920,10
1921,9
1922,10
1923,12
1924,5
1925,5
1926,9
1927,8
1928,8
1929,9
1930,10
1931,0
1932,9
1933,0
1934,6
1935,7
1936,5
1937,8
1938,6
1939,6
1940,6
1941,7
1942,0
1943,6
1944,0
1945,0
1946,7
1947,8
1948,7
1949,6
1950,11
1951,10
1952,5
1953,12
1954,12
1955,8
1956,11
1957,7
1958,9
1959,10
1960,9
1961,14
1962,11
1963,10
1964,21
1965,12
1966,24
1967,45
1968,18
1969,32
1970,28
1971,42
1972,45
1973,49
1974,50
1975,56
1976,59
1977,75
1978,87
1979,87
1980,84
1981,89
1982,90
1983,70
1984,60
1985,63
1986,51
1987,56
1988,52
1989,44
1990,44
1991,46
1992,39
1993,44
1994,50
1995,38
1996,38
1997,45
1998,39
1999,44
2000,47
2001,48
2002,42
2003,57
2004,37
2005,35
2006,43
2007,37
2008,41
2009,52
2010,41
2011,42
2012,38
