year,Theophilus
1880,0
1881,0
1882,5
1883,0
1884,5
1885,5
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,0
1904,6
1905,0
1906,0
1907,6
1908,0
1909,7
1910,7
1911,9
1912,7
1913,15
1914,15
1915,20
1916,15
1917,20
1918,24
1919,24
1920,21
1921,28
1922,22
1923,10
1924,30
1925,17
1926,13
1927,18
1928,15
1929,17
1930,19
1931,18
1932,12
1933,16
1934,15
1935,8
1936,11
1937,10
1938,17
1939,9
1940,10
1941,7
1942,12
1943,9
1944,14
1945,13
1946,18
1947,19
1948,25
1949,25
1950,23
1951,20
1952,21
1953,20
1954,28
1955,24
1956,18
1957,27
1958,17
1959,16
1960,16
1961,12
1962,13
1963,13
1964,11
1965,18
1966,17
1967,19
1968,14
1969,13
1970,11
1971,19
1972,15
1973,15
1974,15
1975,22
1976,11
1977,32
1978,15
1979,19
1980,16
1981,22
1982,17
1983,13
1984,12
1985,13
1986,13
1987,14
1988,23
1989,14
1990,17
1991,12
1992,20
1993,13
1994,14
1995,10
1996,16
1997,23
1998,24
1999,24
2000,21
2001,16
2002,20
2003,27
2004,17
2005,24
2006,17
2007,26
2008,19
2009,17
2010,16
2011,18
2012,35
