year,Texas
1880,5
1881,5
1882,0
1883,0
1884,5
1885,5
1886,7
1887,5
1888,5
1889,7
1890,0
1891,6
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,9
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,5
1913,5
1914,7
1915,8
1916,0
1917,7
1918,19
1919,0
1920,12
1921,9
1922,19
1923,6
1924,7
1925,6
1926,0
1927,10
1928,0
1929,0
1930,8
1931,7
1932,11
1933,5
1934,14
1935,6
1936,0
1937,7
1938,13
1939,11
1940,6
1941,7
1942,15
1943,8
1944,14
1945,5
1946,0
1947,7
1948,9
1949,9
1950,0
1951,0
1952,5
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,5
1971,0
1972,5
1973,0
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,6
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,5
1997,6
1998,5
1999,0
2000,6
2001,8
2002,0
2003,0
2004,0
2005,10
2006,10
2007,12
2008,22
2009,11
2010,15
2011,7
2012,17
