year,Tera
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,7
1895,5
1896,5
1897,0
1898,6
1899,6
1900,8
1901,7
1902,6
1903,7
1904,6
1905,5
1906,7
1907,8
1908,0
1909,0
1910,5
1911,5
1912,5
1913,5
1914,8
1915,8
1916,8
1917,14
1918,10
1919,6
1920,12
1921,15
1922,12
1923,8
1924,6
1925,10
1926,7
1927,9
1928,12
1929,6
1930,0
1931,0
1932,6
1933,6
1934,7
1935,0
1936,8
1937,8
1938,0
1939,6
1940,11
1941,6
1942,7
1943,10
1944,0
1945,10
1946,8
1947,10
1948,15
1949,14
1950,10
1951,0
1952,11
1953,11
1954,13
1955,16
1956,14
1957,17
1958,17
1959,21
1960,39
1961,42
1962,38
1963,51
1964,46
1965,48
1966,45
1967,63
1968,58
1969,75
1970,191
1971,317
1972,379
1973,397
1974,409
1975,381
1976,353
1977,390
1978,395
1979,362
1980,357
1981,343
1982,386
1983,402
1984,416
1985,373
1986,292
1987,238
1988,244
1989,230
1990,217
1991,170
1992,126
1993,143
1994,133
1995,111
1996,77
1997,103
1998,76
1999,90
2000,50
2001,74
2002,75
2003,51
2004,49
2005,63
2006,45
2007,52
2008,50
2009,37
2010,36
2011,19
2012,30
