year,Tobie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,8
1905,0
1906,0
1907,5
1908,5
1909,0
1910,0
1911,0
1912,7
1913,0
1914,7
1915,11
1916,10
1917,13
1918,11
1919,11
1920,6
1921,0
1922,6
1923,11
1924,0
1925,5
1926,0
1927,11
1928,0
1929,7
1930,5
1931,0
1932,8
1933,0
1934,0
1935,0
1936,8
1937,0
1938,11
1939,6
1940,6
1941,14
1942,15
1943,21
1944,23
1945,14
1946,17
1947,19
1948,18
1949,9
1950,27
1951,12
1952,21
1953,20
1954,20
1955,14
1956,23
1957,24
1958,32
1959,26
1960,14
1961,35
1962,23
1963,33
1964,20
1965,32
1966,21
1967,24
1968,34
1969,40
1970,56
1971,52
1972,54
1973,100
1974,90
1975,102
1976,69
1977,46
1978,51
1979,34
1980,27
1981,30
1982,18
1983,20
1984,18
1985,27
1986,20
1987,17
1988,12
1989,14
1990,22
1991,15
1992,18
1993,18
1994,27
1995,19
1996,23
1997,23
1998,23
1999,26
2000,20
2001,21
2002,29
2003,21
2004,24
2005,28
2006,15
2007,21
2008,28
2009,17
2010,21
2011,15
2012,19
