year,Theodora
1880,11
1881,5
1882,0
1883,11
1884,6
1885,18
1886,8
1887,12
1888,18
1889,18
1890,26
1891,23
1892,22
1893,15
1894,20
1895,28
1896,21
1897,20
1898,29
1899,16
1900,24
1901,19
1902,24
1903,24
1904,39
1905,40
1906,41
1907,37
1908,52
1909,42
1910,40
1911,50
1912,60
1913,87
1914,78
1915,134
1916,122
1917,134
1918,166
1919,133
1920,180
1921,184
1922,172
1923,158
1924,177
1925,153
1926,136
1927,162
1928,155
1929,141
1930,114
1931,108
1932,115
1933,90
1934,86
1935,86
1936,60
1937,168
1938,145
1939,138
1940,126
1941,140
1942,189
1943,141
1944,140
1945,143
1946,125
1947,144
1948,131
1949,133
1950,104
1951,103
1952,125
1953,118
1954,103
1955,100
1956,103
1957,90
1958,90
1959,108
1960,83
1961,88
1962,83
1963,75
1964,85
1965,63
1966,70
1967,69
1968,43
1969,56
1970,41
1971,51
1972,53
1973,53
1974,50
1975,46
1976,42
1977,37
1978,30
1979,29
1980,41
1981,35
1982,37
1983,41
1984,40
1985,49
1986,51
1987,49
1988,41
1989,42
1990,39
1991,36
1992,42
1993,58
1994,49
1995,54
1996,46
1997,33
1998,52
1999,48
2000,44
2001,36
2002,47
2003,52
2004,44
2005,41
2006,49
2007,47
2008,41
2009,45
2010,47
2011,61
2012,67
