year,Tresa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,7
1898,6
1899,0
1900,10
1901,0
1902,0
1903,5
1904,0
1905,5
1906,5
1907,0
1908,5
1909,0
1910,0
1911,5
1912,7
1913,12
1914,15
1915,12
1916,27
1917,19
1918,20
1919,20
1920,13
1921,25
1922,19
1923,20
1924,15
1925,18
1926,17
1927,15
1928,23
1929,13
1930,13
1931,11
1932,16
1933,9
1934,13
1935,18
1936,20
1937,11
1938,9
1939,8
1940,17
1941,12
1942,16
1943,18
1944,15
1945,20
1946,25
1947,35
1948,39
1949,35
1950,44
1951,44
1952,65
1953,49
1954,79
1955,81
1956,96
1957,92
1958,109
1959,144
1960,175
1961,192
1962,187
1963,182
1964,177
1965,200
1966,206
1967,180
1968,164
1969,168
1970,174
1971,192
1972,145
1973,109
1974,81
1975,75
1976,60
1977,59
1978,62
1979,39
1980,39
1981,46
1982,34
1983,34
1984,23
1985,20
1986,20
1987,19
1988,21
1989,26
1990,20
1991,12
1992,18
1993,16
1994,13
1995,10
1996,17
1997,15
1998,10
1999,8
2000,10
2001,11
2002,10
2003,5
2004,0
2005,7
2006,0
2007,5
2008,13
2009,0
2010,0
2011,5
2012,0
