year,Tobe
1880,15
1881,16
1882,17
1883,10
1884,8
1885,10
1886,9
1887,9
1888,16
1889,11
1890,11
1891,5
1892,10
1893,10
1894,12
1895,9
1896,8
1897,10
1898,10
1899,6
1900,11
1901,6
1902,9
1903,11
1904,0
1905,0
1906,0
1907,8
1908,6
1909,7
1910,16
1911,7
1912,12
1913,17
1914,10
1915,11
1916,20
1917,5
1918,19
1919,19
1920,10
1921,10
1922,16
1923,16
1924,11
1925,10
1926,5
1927,7
1928,8
1929,15
1930,16
1931,5
1932,9
1933,7
1934,0
1935,8
1936,0
1937,0
1938,0
1939,10
1940,5
1941,8
1942,7
1943,7
1944,6
1945,14
1946,7
1947,6
1948,0
1949,11
1950,7
1951,5
1952,7
1953,5
1954,5
1955,0
1956,0
1957,12
1958,5
1959,0
1960,9
1961,5
1962,0
1963,0
1964,16
1965,6
1966,8
1967,8
1968,11
1969,0
1970,10
1971,15
1972,0
1973,10
1974,13
1975,9
1976,16
1977,11
1978,11
1979,7
1980,6
1981,7
1982,5
1983,7
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,8
1998,0
1999,7
2000,0
2001,0
2002,8
2003,8
2004,8
2005,6
2006,8
2007,5
2008,0
2009,7
2010,0
2011,6
2012,6
