year,Trudy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,9
1898,0
1899,5
1900,9
1901,5
1902,8
1903,5
1904,6
1905,7
1906,0
1907,7
1908,11
1909,6
1910,16
1911,17
1912,18
1913,16
1914,19
1915,23
1916,22
1917,26
1918,35
1919,38
1920,29
1921,26
1922,34
1923,29
1924,40
1925,31
1926,48
1927,47
1928,41
1929,42
1930,56
1931,52
1932,44
1933,50
1934,58
1935,77
1936,80
1937,91
1938,122
1939,127
1940,164
1941,226
1942,267
1943,505
1944,652
1945,728
1946,896
1947,975
1948,883
1949,905
1950,936
1951,921
1952,927
1953,828
1954,770
1955,856
1956,741
1957,774
1958,825
1959,766
1960,718
1961,681
1962,716
1963,852
1964,672
1965,583
1966,521
1967,427
1968,404
1969,347
1970,354
1971,277
1972,273
1973,271
1974,211
1975,179
1976,208
1977,158
1978,144
1979,127
1980,115
1981,117
1982,86
1983,66
1984,72
1985,38
1986,40
1987,43
1988,46
1989,41
1990,35
1991,39
1992,33
1993,34
1994,25
1995,31
1996,25
1997,22
1998,22
1999,25
2000,25
2001,19
2002,19
2003,21
2004,19
2005,21
2006,14
2007,16
2008,29
2009,20
2010,19
2011,19
2012,26
